88:tensor(32267.6699, device='cuda:0', grad_fn=<AddBackward0>)
89:tensor(32000.8555, device='cuda:0', grad_fn=<AddBackward0>)
90:tensor(31979.3477, device='cuda:0', grad_fn=<AddBackward0>)
91:tensor(31675.6777, device='cuda:0', grad_fn=<AddBackward0>)
92:tensor(31743.9199, device='cuda:0', grad_fn=<AddBackward0>)
93:tensor(31102.0098, device='cuda:0', grad_fn=<AddBackward0>)
94:tensor(30920.1484, device='cuda:0', grad_fn=<AddBackward0>)
95:tensor(30964.6777, device='cuda:0', grad_fn=<AddBackward0>)
96:tensor(30876.6680, device='cuda:0', grad_fn=<AddBackward0>)
97:tensor(30904.8984, device='cuda:0', grad_fn=<AddBackward0>)
98:tensor(30479.6797, device='cuda:0', grad_fn=<AddBackward0>)
99:tensor(30298.0918, device='cuda:0', grad_fn=<AddBackward0>)
100:tensor(30384.9609, device='cuda:0', grad_fn=<AddBackward0>)
101:tensor(30016.6855, device='cuda:0', grad_fn=<AddBackward0>)
102:tensor(30026.8379, device='cuda:0', grad_fn=<AddBackward0>)
103:tensor(30078.2539, device='cuda:0', grad_fn=<AddBackward0>)
104:tensor(29820.2168, device='cuda:0', grad_fn=<AddBackward0>)
105:tensor(29860.1523, device='cuda:0', grad_fn=<AddBackward0>)
106:tensor(29479.4043, device='cuda:0', grad_fn=<AddBackward0>)
107:tensor(29567.7051, device='cuda:0', grad_fn=<AddBackward0>)
108:tensor(29393.4941, device='cuda:0', grad_fn=<AddBackward0>)
109:tensor(29471.5312, device='cuda:0', grad_fn=<AddBackward0>)
110:tensor(28925.0039, device='cuda:0', grad_fn=<AddBackward0>)
111:tensor(29117.0234, device='cuda:0', grad_fn=<AddBackward0>)
112:tensor(28714.6602, device='cuda:0', grad_fn=<AddBackward0>)
113:tensor(28857.0957, device='cuda:0', grad_fn=<AddBackward0>)
114:tensor(28601.9043, device='cuda:0', grad_fn=<AddBackward0>)
115:tensor(28712.6270, device='cuda:0', grad_fn=<AddBackward0>)
116:tensor(28515.7520, device='cuda:0', grad_fn=<AddBackward0>)
117:tensor(28401.0332, device='cuda:0', grad_fn=<AddBackward0>)
118:tensor(27962.5957, device='cuda:0', grad_fn=<AddBackward0>)
119:tensor(28190.4160, device='cuda:0', grad_fn=<AddBackward0>)
120:tensor(28146.0371, device='cuda:0', grad_fn=<AddBackward0>)
121:tensor(28043.1855, device='cuda:0', grad_fn=<AddBackward0>)
122:tensor(28125.8438, device='cuda:0', grad_fn=<AddBackward0>)
123:tensor(28028.0781, device='cuda:0', grad_fn=<AddBackward0>)
124:tensor(27981.9375, device='cuda:0', grad_fn=<AddBackward0>)
125:tensor(27756.4688, device='cuda:0', grad_fn=<AddBackward0>)
126:tensor(27462.9707, device='cuda:0', grad_fn=<AddBackward0>)
127:tensor(27493.3809, device='cuda:0', grad_fn=<AddBackward0>)
128:tensor(27498.4902, device='cuda:0', grad_fn=<AddBackward0>)
129:tensor(27170.5059, device='cuda:0', grad_fn=<AddBackward0>)
130:tensor(27100.7734, device='cuda:0', grad_fn=<AddBackward0>)
131:tensor(27190.5215, device='cuda:0', grad_fn=<AddBackward0>)
132:tensor(27252.2930, device='cuda:0', grad_fn=<AddBackward0>)
133:tensor(26937.6523, device='cuda:0', grad_fn=<AddBackward0>)
134:tensor(27146.6406, device='cuda:0', grad_fn=<AddBackward0>)
135:tensor(27242.2520, device='cuda:0', grad_fn=<AddBackward0>)
136:tensor(27027.9141, device='cuda:0', grad_fn=<AddBackward0>)
137:tensor(27276.5820, device='cuda:0', grad_fn=<AddBackward0>)
138:tensor(26912.1328, device='cuda:0', grad_fn=<AddBackward0>)
139:tensor(26542.4121, device='cuda:0', grad_fn=<AddBackward0>)
140:tensor(26837.7910, device='cuda:0', grad_fn=<AddBackward0>)
141:tensor(26496.6934, device='cuda:0', grad_fn=<AddBackward0>)
142:tensor(26691.9531, device='cuda:0', grad_fn=<AddBackward0>)
143:tensor(26477.8691, device='cuda:0', grad_fn=<AddBackward0>)
144:tensor(26037.9023, device='cuda:0', grad_fn=<AddBackward0>)
145:tensor(26213.7598, device='cuda:0', grad_fn=<AddBackward0>)
146:tensor(26492.5156, device='cuda:0', grad_fn=<AddBackward0>)
147:tensor(25968.8945, device='cuda:0', grad_fn=<AddBackward0>)
148:tensor(26086.6016, device='cuda:0', grad_fn=<AddBackward0>)
149:tensor(25561.1074, device='cuda:0', grad_fn=<AddBackward0>)
150:tensor(25974.8281, device='cuda:0', grad_fn=<AddBackward0>)
151:tensor(26130.4609, device='cuda:0', grad_fn=<AddBackward0>)
152:tensor(25898.3984, device='cuda:0', grad_fn=<AddBackward0>)
153:tensor(26084.8730, device='cuda:0', grad_fn=<AddBackward0>)
154:tensor(25684.7090, device='cuda:0', grad_fn=<AddBackward0>)
155:tensor(25814.7305, device='cuda:0', grad_fn=<AddBackward0>)
156:tensor(25564.0215, device='cuda:0', grad_fn=<AddBackward0>)
157:tensor(25998.9316, device='cuda:0', grad_fn=<AddBackward0>)
158:tensor(25925.3340, device='cuda:0', grad_fn=<AddBackward0>)
159:tensor(25293.1641, device='cuda:0', grad_fn=<AddBackward0>)
160:tensor(25495.1523, device='cuda:0', grad_fn=<AddBackward0>)
161:tensor(25587.0215, device='cuda:0', grad_fn=<AddBackward0>)
162:tensor(25222.3965, device='cuda:0', grad_fn=<AddBackward0>)
163:tensor(25070.7363, device='cuda:0', grad_fn=<AddBackward0>)
164:tensor(25709.2715, device='cuda:0', grad_fn=<AddBackward0>)
165:tensor(25316.1797, device='cuda:0', grad_fn=<AddBackward0>)
166:tensor(25137.6523, device='cuda:0', grad_fn=<AddBackward0>)
167:tensor(25139.7520, device='cuda:0', grad_fn=<AddBackward0>)
168:tensor(24964.3516, device='cuda:0', grad_fn=<AddBackward0>)
169:tensor(25409.9648, device='cuda:0', grad_fn=<AddBackward0>)
170:tensor(24992.7402, device='cuda:0', grad_fn=<AddBackward0>)
171:tensor(25332.5430, device='cuda:0', grad_fn=<AddBackward0>)
172:tensor(24963.4297, device='cuda:0', grad_fn=<AddBackward0>)
173:tensor(24885.5586, device='cuda:0', grad_fn=<AddBackward0>)
174:tensor(24973.0156, device='cuda:0', grad_fn=<AddBackward0>)
175:tensor(24969.8613, device='cuda:0', grad_fn=<AddBackward0>)
176:tensor(24607.5176, device='cuda:0', grad_fn=<AddBackward0>)
177:tensor(24485.8379, device='cuda:0', grad_fn=<AddBackward0>)
178:tensor(24265.1211, device='cuda:0', grad_fn=<AddBackward0>)
179:tensor(24691.9395, device='cuda:0', grad_fn=<AddBackward0>)
180:tensor(24649.5410, device='cuda:0', grad_fn=<AddBackward0>)
181:tensor(24907.4258, device='cuda:0', grad_fn=<AddBackward0>)
182:tensor(24619.3125, device='cuda:0', grad_fn=<AddBackward0>)
183:tensor(24655.8691, device='cuda:0', grad_fn=<AddBackward0>)
184:tensor(24913.5078, device='cuda:0', grad_fn=<AddBackward0>)
185:tensor(23541.5078, device='cuda:0', grad_fn=<AddBackward0>)
186:tensor(24204.7676, device='cuda:0', grad_fn=<AddBackward0>)
187:tensor(24659.5645, device='cuda:0', grad_fn=<AddBackward0>)
188:tensor(23578.9980, device='cuda:0', grad_fn=<AddBackward0>)
189:tensor(23795.8301, device='cuda:0', grad_fn=<AddBackward0>)
190:tensor(23813.1270, device='cuda:0', grad_fn=<AddBackward0>)
191:tensor(24274.9746, device='cuda:0', grad_fn=<AddBackward0>)
192:tensor(24216.2949, device='cuda:0', grad_fn=<AddBackward0>)
193:tensor(24591.4922, device='cuda:0', grad_fn=<AddBackward0>)
194:tensor(24217.0332, device='cuda:0', grad_fn=<AddBackward0>)
195:tensor(23545.6953, device='cuda:0', grad_fn=<AddBackward0>)
196:tensor(23967.8105, device='cuda:0', grad_fn=<AddBackward0>)
197:tensor(24276.7207, device='cuda:0', grad_fn=<AddBackward0>)
198:tensor(24241.6758, device='cuda:0', grad_fn=<AddBackward0>)
199:tensor(23749.2188, device='cuda:0', grad_fn=<AddBackward0>)
200:tensor(24173.8320, device='cuda:0', grad_fn=<AddBackward0>)
201:tensor(24765.2676, device='cuda:0', grad_fn=<AddBackward0>)
202:tensor(23893.1992, device='cuda:0', grad_fn=<AddBackward0>)
203:tensor(23180.6289, device='cuda:0', grad_fn=<AddBackward0>)
204:tensor(23880.0684, device='cuda:0', grad_fn=<AddBackward0>)
205:tensor(24061.3379, device='cuda:0', grad_fn=<AddBackward0>)
206:tensor(23705.3438, device='cuda:0', grad_fn=<AddBackward0>)
207:tensor(23670.2188, device='cuda:0', grad_fn=<AddBackward0>)
208:tensor(22770.9824, device='cuda:0', grad_fn=<AddBackward0>)
209:tensor(23581.5039, device='cuda:0', grad_fn=<AddBackward0>)
210:tensor(23529.0312, device='cuda:0', grad_fn=<AddBackward0>)
211:tensor(23839.0430, device='cuda:0', grad_fn=<AddBackward0>)
212:tensor(23740.2988, device='cuda:0', grad_fn=<AddBackward0>)
213:tensor(23543.5859, device='cuda:0', grad_fn=<AddBackward0>)
214:tensor(23632.0645, device='cuda:0', grad_fn=<AddBackward0>)
215:tensor(23545.6836, device='cuda:0', grad_fn=<AddBackward0>)
216:tensor(23157.9473, device='cuda:0', grad_fn=<AddBackward0>)
217:tensor(24017.8926, device='cuda:0', grad_fn=<AddBackward0>)
218:tensor(24281.5605, device='cuda:0', grad_fn=<AddBackward0>)
219:tensor(22940.2422, device='cuda:0', grad_fn=<AddBackward0>)
220:tensor(23479.5156, device='cuda:0', grad_fn=<AddBackward0>)
221:tensor(23768.2246, device='cuda:0', grad_fn=<AddBackward0>)
222:tensor(23242.0781, device='cuda:0', grad_fn=<AddBackward0>)
223:tensor(23135.6719, device='cuda:0', grad_fn=<AddBackward0>)
224:tensor(23501.8945, device='cuda:0', grad_fn=<AddBackward0>)
225:tensor(23207.6250, device='cuda:0', grad_fn=<AddBackward0>)
226:tensor(23331.1094, device='cuda:0', grad_fn=<AddBackward0>)
227:tensor(23358.3379, device='cuda:0', grad_fn=<AddBackward0>)
228:tensor(23476.5938, device='cuda:0', grad_fn=<AddBackward0>)
229:tensor(22772.0039, device='cuda:0', grad_fn=<AddBackward0>)
230:tensor(23145.3496, device='cuda:0', grad_fn=<AddBackward0>)
231:tensor(23292.1719, device='cuda:0', grad_fn=<AddBackward0>)
232:tensor(23348.0508, device='cuda:0', grad_fn=<AddBackward0>)
233:tensor(23189.9316, device='cuda:0', grad_fn=<AddBackward0>)
234:tensor(23404.8262, device='cuda:0', grad_fn=<AddBackward0>)
235:tensor(22657.2129, device='cuda:0', grad_fn=<AddBackward0>)
